id,category,subcategory,difficulty,statement,is_correct,explanation,source_type,source_title,source_url,source_checked_on,status,duplicate_group,review_notes,app_ready
P1-023,part1,技能証明・機体認証,中級,二等無人航空機操縦士はカテゴリーIII飛行を行うことはできない。,true,カテゴリーIII飛行には一等無人航空機操縦士と第一種機体認証が必要である。,mlit_page,無人航空機の飛行許可・承認手続,https://www.mlit.go.jp/koku/koku_fr10_000042.html?id=cig_arti_special,2026-05-19,approved,category3_license_001,既存問題。,yes
P1-024,part1,技能証明・機体認証,初級,無人航空機操縦者技能証明の有効期間は3年間である。,true,技能証明の有効期間は3年間で、更新には所定の手続が必要である。,mlit_page,無人航空機操縦者技能証明等,https://www.mlit.go.jp/koku/license.html,2026-05-19,approved,skill_certificate_term_001,既存問題。数値論点。,yes
P1-025,part1,運航義務・飛行日誌・事故報告,中級,技能証明を受けた操縦者は、特定飛行を行う際に飛行日誌を作成・保存する義務がある。,true,飛行記録の作成と保存は、事故調査や運航管理のために重要である。,manual,無人航空機の飛行の安全に関する教則,https://www.mlit.go.jp/common/001602108.pdf,2026-05-19,approved,flight_log_001,既存問題。,yes
P1-026,part1,運航義務・飛行日誌・事故報告,中級,事故発生時には、負傷者の救護及び国土交通大臣への報告を行う義務がある。,true,事故発生時には人命救助を優先しつつ、必要な報告を行う義務がある。,manual,無人航空機の飛行の安全に関する教則,https://www.mlit.go.jp/common/001602108.pdf,2026-05-19,approved,accident_report_001,既存問題。事故と重大インシデントの追加整理が必要。,yes
P1-027,part1,特定飛行・飛行方法,初級,人又は物件と十分な距離を確保できない飛行であっても、特定飛行には該当しない。,false,人又は物件と距離を確保できない飛行は、特定飛行に該当する飛行方法の一つである。,mlit_page,飛行許可・承認申請ポータルサイト,https://www.mlit.go.jp/koku/permitapproval/index.html,2026-05-19,approved,distance_method_001,新規作問。6:4補正で誤問化。,yes
P1-028,part1,特定飛行・飛行方法,初級,人又は物件から30m未満となる飛行であっても、操縦者が十分に注意していれば特定飛行には該当しない。,false,人又は物件から30mの距離を取れない飛行は、注意義務の有無にかかわらず特定飛行に該当する。,mlit_page,無人航空機の飛行許可・承認手続,https://www.mlit.go.jp/koku/koku_fr10_000042.html?id=cig_arti_special,2026-05-19,approved,distance_method_002,新規作問。30m論点。,yes
P1-029,part1,特定飛行・飛行方法,初級,催し場所上空での飛行は、特定飛行に該当しない。,false,催し場所上空での飛行は、特定飛行に該当する飛行方法として扱われる。,mlit_page,飛行許可・承認申請ポータルサイト,https://www.mlit.go.jp/koku/permitapproval/index.html,2026-05-19,approved,event_overhead_001,新規作問。6:4補正で誤問化。,yes
P1-030,part1,特定飛行・飛行方法,初級,危険物の輸送は、特定飛行に該当する。,true,危険物の輸送は特定飛行に該当する飛行方法であり、厳格に扱われる。,mlit_page,飛行許可・承認申請ポータルサイト,https://www.mlit.go.jp/koku/permitapproval/index.html,2026-05-19,approved,dangerous_goods_001,新規作問。,yes
P1-031,part1,特定飛行・飛行方法,初級,物件の投下は、特定飛行に該当する。,true,物件投下は特定飛行に該当する飛行方法である。,mlit_page,飛行許可・承認申請ポータルサイト,https://www.mlit.go.jp/koku/permitapproval/index.html,2026-05-19,approved,object_drop_001,新規作問。,yes
P1-032,part1,技能証明・機体認証,上級,カテゴリーII飛行のうち、DID上空、夜間、目視外、人又は物件から30m未満の飛行では、立入管理措置を講じ、技能証明と機体認証などの条件を満たせば、許可・承認が不要となる場合がある。,true,カテゴリーIIの一部では、立入管理措置、技能証明、機体認証、飛行マニュアル作成等の条件を満たすことで許可・承認が不要となる場合がある。,mlit_page,無人航空機の飛行許可・承認手続,https://www.mlit.go.jp/koku/koku_fr10_000042.html?id=cig_arti_special,2026-05-19,approved,category2b_waiver_001,文面整理済み。主論点を許可・承認不要となる条件に集約。,yes
P1-033,part1,技能証明・機体認証,上級,二等無人航空機操縦士の技能証明と第二種機体認証があれば、催し場所上空での飛行でも許可・承認は不要である。,false,催し場所上空での飛行はカテゴリーIIAに含まれ、二等技能証明と第二種機体認証のみで一律に許可・承認不要にはならない。,mlit_page,無人航空機（ドローン・ラジコン機等）の飛行ルール,https://www.mlit.go.jp/koku/koku_tk10_000003.html,2026-05-19,approved,category2a_required_001,新規作問。カテゴリIIAの確認用。,yes
P1-034,part1,カテゴリー区分,初級,カテゴリーI飛行とは、特定飛行に該当しない飛行をいう。,true,カテゴリーI飛行は特定飛行に該当しない飛行であり、航空法上は特段の飛行許可・承認手続が不要である。,manual,無人航空機の飛行の安全に関する教則,https://www.mlit.go.jp/common/001602108.pdf,2026-05-19,approved,category1_definition_001,新規作問。,yes
P1-035,part1,カテゴリー区分,中級,カテゴリーII飛行とは、特定飛行のうち、第三者の上空を飛行しないように立入管理措置を講じたうえで行う飛行をいう。,true,カテゴリーII飛行は、飛行経路下で第三者の立入りを管理する措置を講じた特定飛行である。,manual,無人航空機の飛行の安全に関する教則,https://www.mlit.go.jp/common/001602108.pdf,2026-05-19,approved,category2_definition_001,新規作問。,yes
P1-036,part1,カテゴリー区分,上級,カテゴリーII飛行のうち、空港周辺、高度150m以上、催し場所上空、危険物輸送、物件投下、または最大離陸重量25kg以上の機体による飛行は、カテゴリーIIB飛行に分類される。,false,これらはリスクの高いカテゴリーIIA飛行に分類され、カテゴリーIIBではない。,manual,無人航空機の飛行の安全に関する教則,https://www.mlit.go.jp/common/001602108.pdf,2026-05-19,approved,category2a_definition_001,新規作問。IIA/IIBの切り分け。,yes
P1-037,part1,特定飛行・飛行方法,初級,自宅敷地内であれば、夜間飛行でも特定飛行には該当しない。,false,土地所有の有無だけで特定飛行から外れるわけではなく、夜間飛行は飛行方法として規制対象となる。,mlit_page,無人航空機の飛行禁止空域と飛行の方法,https://www.mlit.go.jp/koku/koku_fr10_000041.html,2026-05-19,approved,night_private_land_001,私有地誤解対策。6:4補正で誤問化。,yes
P1-038,part1,特定飛行・飛行方法,中級,補助者を配置して常時連絡が取れる体制を整えれば、目視外飛行は特定飛行に該当しなくなる。,false,補助者の配置は安全確保措置として有効だが、目視外飛行であること自体は変わらず、特定飛行に該当する。,mlit_page,無人航空機の飛行禁止空域と飛行の方法,https://www.mlit.go.jp/koku/koku_fr10_000041.html,2026-05-19,approved,bvlos_observer_001,新規作問。,yes
P1-039,part1,飛行禁止空域,初級,緊急用務空域に指定された場合、DID上空や150m以上の飛行について許可を得ていても、その空域を飛行させることはできない。,true,緊急用務空域は優先され、他の許可があっても原則として飛行できない。,mlit_page,無人航空機の飛行禁止空域と飛行の方法,https://www.mlit.go.jp/koku/koku_fr10_000041.html,2026-05-19,approved,emergency_zone_priority_001,新規作問。,yes
P1-040,part1,飛行禁止空域,中級,人口集中地区への該当有無は、国土地理院の地理院地図やjSTAT MAPなどで確認できる。,true,DID該当性の確認には、国土地理院や政府統計の地図サービスが案内されている。,mlit_page,無人航空機の飛行禁止空域と飛行の方法,https://www.mlit.go.jp/koku/koku_fr10_000041.html,2026-05-19,approved,did_map_check_001,新規作問。,yes
P1-041,part1,飛行禁止空域,中級,空港等の周辺空域に該当するか境界付近で判断が難しい場合でも、地図に誤差がある可能性は考慮せず、自分で判断してよい。,false,境界付近では図面に誤差が含まれる可能性があるため、空港等設置管理者や空域を管轄する機関への確認が必要である。,mlit_page,無人航空機の飛行禁止空域と飛行の方法,https://www.mlit.go.jp/koku/koku_fr10_000041.html,2026-05-19,approved,airport_boundary_001,新規作問。,yes
P1-042,part1,飛行禁止空域,中級,地表又は水面から150m以上の空域で飛行する場合、許可申請の前に空域を管轄する管制機関と調整を行う。,true,150m以上の空域では、許可申請前に管制機関との調整が必要とされる。,mlit_page,無人航空機の飛行禁止空域と飛行の方法,https://www.mlit.go.jp/koku/koku_fr10_000041.html,2026-05-19,approved,height_coordination_001,新規作問。既存16番の周辺論点。,yes
P1-043,part1,登録制度,初級,無人航空機を複数所有していても、100g以上で屋外飛行の対象となる機体はまとめて1件登録すれば足りる。,false,登録は所有者単位ではなく機体ごとに必要であり、複数機所有時は各機体の登録が必要となる。,mlit_page,無人航空機登録ポータルサイト,https://www.mlit.go.jp/koku/drone/,2026-05-19,approved,multi_aircraft_registration_001,FAQ由来。6:4補正で誤問化。,yes
P1-044,part1,登録制度,中級,機体登録の申請は、原則として郵送書面で行う。,false,機体登録や飛行許可・承認手続は、原則としてDIPS2.0によるオンライン手続が案内されている。,mlit_page,無人航空機登録ポータルサイト,https://www.mlit.go.jp/koku/drone/,2026-05-19,approved,dips_registration_001,新規作問。6:4補正で誤問化。,yes
P1-045,part1,登録制度,中級,2022年6月19日までの事前登録期間に申請した機体は、更新しなくても将来にわたりリモートID搭載義務の対象外である。,false,事前登録期間に申請した機体であっても、登録を更新しなければリモートID搭載義務の対象となる。,mlit_page,無人航空機登録ポータルサイト,https://www.mlit.go.jp/koku/drone/,2026-05-19,approved,remote_id_exemption_001,新規作問。,yes
P1-046,part1,登録制度,中級,リモートID搭載義務の例外として、登録ポータルサイトで代表例として案内されているものには、事前登録期間中に登録手続きを行った機体、安全確保措置を講じた飛行、係留飛行がある。,true,登録ポータルサイトでは、代表的な搭載免除条件として事前登録機、安全確保措置を講じた飛行、係留飛行が示されている。個別適用の詳細条件は別途確認が必要である。,mlit_page,無人航空機登録ポータルサイト,https://www.mlit.go.jp/koku/drone/,2026-05-19,approved,remote_id_exemption_002,文面整理済み。代表例であることを明示。,yes
P1-047,part1,定義・適用範囲,初級,屋外を飛行させる100g以上のドローンやラジコン機は、登録制度の対象となる。,true,登録ポータルサイトでは、屋外を飛行させる100g以上の機体が登録対象として案内されている。,mlit_page,無人航空機登録ポータルサイト,https://www.mlit.go.jp/koku/drone/,2026-05-19,approved,registration_scope_001,新規作問。,yes
P1-048,part1,定義・適用範囲,中級,100g以上の無人航空機であれば、屋内専用であっても必ず登録しなければならない。,false,登録ポータルサイトでは、屋外を飛行させる100g以上の機体が登録対象として案内されている。,mlit_page,無人航空機登録ポータルサイト,https://www.mlit.go.jp/koku/drone/,2026-05-19,approved,registration_scope_002,新規作問。屋外条件の確認用。,yes
P1-049,part1,定義・適用範囲,初級,100g未満の機体は、現行の無人航空機登録制度の対象外である。,true,登録義務の対象は100g以上の機体であり、100g未満は対象外である。,mlit_page,無人航空機登録ポータルサイト,https://www.mlit.go.jp/koku/drone/,2026-05-19,approved,registration_scope_003,新規作問。,yes
P1-050,part1,許可・承認・申請実務,初級,飛行許可・承認手続は、機体登録手続をしていなくても、登録記号又は試験飛行届出番号の発行前に開始できる。,false,飛行許可・承認手続の前提として、機体登録又は試験飛行届出番号の発行が必要である。,mlit_page,無人航空機の飛行許可・承認手続,https://www.mlit.go.jp/koku/koku_fr10_000042.html?id=cig_arti_special,2026-05-19,approved,application_prerequisite_001,新規作問。6:4補正で誤問化。,yes
P1-051,part1,許可・承認・申請実務,中級,DIPS2.0で申請できない内容であっても、書面申請は認められていない。,false,飛行許可・承認手続ページでは、DIPS2.0で申請できない内容については書面申請が可能と案内されている。,mlit_page,無人航空機の飛行許可・承認手続,https://www.mlit.go.jp/koku/koku_fr10_000042.html?id=cig_arti_special,2026-05-19,approved,application_paper_001,新規作問。,yes
P1-052,part1,許可・承認・申請実務,中級,DIPS2.0でオンライン申請しても、補正のやり取りや許可書の受領はDIPS2.0上では完結せず、郵送でしか行えない。,false,オンライン申請では、申請から補正対応、許可書の受領までDIPS2.0で完結すると案内されている。,mlit_page,無人航空機の飛行許可・承認手続,https://www.mlit.go.jp/koku/koku_fr10_000042.html?id=cig_arti_special,2026-05-19,approved,application_dips_flow_001,新規作問。6:4補正で誤問化。,yes
P1-053,part1,許可・承認・申請実務,初級,電子許可書は発行完了後もダウンロードできず、紙の交付を待たなければならない。,false,電子許可書はダウンロード可能で、紙に比べて管理しやすく携帯にも便利と案内されている。,mlit_page,無人航空機の飛行許可・承認手続,https://www.mlit.go.jp/koku/koku_fr10_000042.html?id=cig_arti_special,2026-05-19,approved,electronic_permit_001,新規作問。6:4補正で誤問化。,yes
P1-054,part1,運航義務・飛行日誌・事故報告,中級,特定飛行を行う際は、許可書又は承認書の原本しか携行できず、写しでは認められない。,false,教則では、許可書又は承認書の原本又は写しを携行するとされている。,manual,無人航空機の飛行の安全に関する教則,https://www.mlit.go.jp/common/001602108.pdf,2026-05-19,approved,carry_docs_001,新規作問。,yes
P1-055,part1,技能証明・機体認証,中級,特定飛行を行う際、技能証明を受けている場合には、技能証明書、飛行日誌、許可書又は承認書等を携行する。,true,教則では、特定飛行時に必要書類として技能証明書、飛行日誌、許可書又は承認書等の携行を求めている。,manual,無人航空機の飛行の安全に関する教則,https://www.mlit.go.jp/common/001602108.pdf,2026-05-19,approved,carry_docs_002,新規作問。分類を技能証明寄りに調整。,yes
P1-056,part1,許可・承認・申請実務,中級,飛行前の確認事項として飛行計画の策定は必要だが、ドローン情報基盤システムの飛行計画通報機能に入力して通報する必要はない。,false,教則では、飛行前の確認事項として飛行計画の策定と飛行計画通報機能への入力・通報が示されている。,manual,無人航空機の飛行の安全に関する教則,https://www.mlit.go.jp/common/001602108.pdf,2026-05-19,approved,flight_plan_notify_001,新規作問。6:4補正で誤問化。,yes
P1-057,part1,運航義務・飛行日誌・事故報告,中級,飛行前に航行中の航空機を確認した場合でも、無人航空機側に回避義務があるため、そのまま飛行を開始してよい。,false,教則では、飛行前に航行中の航空機を確認した場合には飛行を行わないことが求められている。,manual,無人航空機の飛行の安全に関する教則,https://www.mlit.go.jp/common/001602108.pdf,2026-05-19,approved,manned_aircraft_preflight_001,新規作問。,yes
P1-058,part1,運航義務・飛行日誌・事故報告,中級,飛行中に航行中の航空機を確認しても、無人航空機側は特に回避措置を取らず飛行を継続してよい。,false,教則では、飛行中に航空機を確認した場合の措置として降下その他の適切な対応が求められている。,manual,無人航空機の飛行の安全に関する教則,https://www.mlit.go.jp/common/001602108.pdf,2026-05-19,approved,manned_aircraft_inflight_001,新規作問。6:4補正で誤問化。,yes
P1-059,part1,技能証明・機体認証,上級,第一種機体認証の有効期間は1年、第二種機体認証の有効期間は3年である。,true,教則では、機体認証の有効期間について第一種1年、第二種3年と示されている。,manual,無人航空機の飛行の安全に関する教則,https://www.mlit.go.jp/common/001602108.pdf,2026-05-19,approved,aircraft_cert_term_001,新規作問。,yes
P1-060,part1,技能証明・機体認証,上級,第二種機体認証の有効期間は1年である。,false,第二種機体認証の有効期間は3年であり、1年ではない。,manual,無人航空機の飛行の安全に関する教則,https://www.mlit.go.jp/common/001602108.pdf,2026-05-19,approved,aircraft_cert_term_002,新規作問。,yes
P1-061,part1,技能証明・機体認証,上級,カテゴリーIII飛行に対応するのは、第一種機体認証と一等無人航空機操縦士である。,true,教則では、カテゴリーIII飛行に対応した制度として第一種機体認証と一等無人航空機操縦士が示されている。,manual,無人航空機の飛行の安全に関する教則,https://www.mlit.go.jp/common/001602108.pdf,2026-05-19,approved,category3_cert_combo_001,新規作問。,yes
P1-062,part1,技能証明・機体認証,上級,カテゴリーII飛行に対応するのは、第一種機体認証と一等無人航空機操縦士のみである。,false,教則では、カテゴリーII飛行に対応する制度として第二種機体認証と二等無人航空機操縦士が示されている。,manual,無人航空機の飛行の安全に関する教則,https://www.mlit.go.jp/common/001602108.pdf,2026-05-19,approved,category2_cert_combo_001,新規作問。,yes
P1-063,part1,カテゴリー区分,上級,最大離陸重量25kg以上の無人航空機によるカテゴリーII飛行は、リスクの高いカテゴリーIIA飛行に分類される。,true,教則では、最大離陸重量25kg以上の機体によるカテゴリーII飛行をカテゴリーIIAに含めている。,manual,無人航空機の飛行の安全に関する教則,https://www.mlit.go.jp/common/001602108.pdf,2026-05-19,approved,category2a_heavy_001,新規作問。,yes
P1-064,part1,カテゴリー区分,中級,立入管理措置の例には、関係者以外の立入りを制限する看板、コーン等による表示、補助者による監視や口頭警告などが含まれる。,true,教則では、立入管理措置の具体例として看板、コーン、補助者による監視や口頭警告などを挙げている。,manual,無人航空機の飛行の安全に関する教則,https://www.mlit.go.jp/common/001602108.pdf,2026-05-19,approved,access_control_examples_001,新規作問。,yes
P1-065,part1,カテゴリー区分,中級,立入管理措置では、第三者の立入りを管理する区画を設ける必要はなく、飛行経路だけ決めておけば足りる。,false,教則では、立入管理区画の設定とその範囲を明示するための措置が必要とされている。,manual,無人航空機の飛行の安全に関する教則,https://www.mlit.go.jp/common/001602108.pdf,2026-05-19,approved,access_control_examples_002,新規作問。,yes
P1-066,part1,許可・承認・申請実務,中級,安全確保措置の準備状況として、緊急着陸地点や安全にホバリング・旋回できる場所の設定などを確認することが挙げられる。,true,教則では、立入管理措置や安全確保措置の準備として緊急時の措置の設定が示されている。,manual,無人航空機の飛行の安全に関する教則,https://www.mlit.go.jp/common/001602108.pdf,2026-05-19,approved,safety_measures_001,新規作問。,yes
P1-067,part1,登録制度,中級,新規登録や更新登録の申請後に連絡がない場合は、DIPS2.0上で申請状況を確認できる。,true,登録ポータルサイトでは、申請状況はDIPS2.0上で確認できると案内されている。,mlit_page,無人航空機登録ポータルサイト,https://www.mlit.go.jp/koku/drone/,2026-05-19,approved,dips_status_001,新規作問。,yes
P1-068,part1,登録制度,中級,DIPS2.0から届く電子メールに記載されたURLを開かなくても、本人確認や補正対応は自動で進む。,false,DIPS2.0からの電子メールによる本人確認や補正指示に対応しないと、手続は進まない。,mlit_page,無人航空機登録ポータルサイト,https://www.mlit.go.jp/koku/drone/,2026-05-19,approved,dips_status_002,新規作問。,yes
P1-069,part1,登録制度,中級,本人確認方法として書類郵送を選択したオンライン申請では、本人確認書類を郵送しないと手続が進まない。,true,登録ポータルサイトのFAQでは、書類郵送を選択した場合は本人確認書類を郵送しないと手続が進まないと案内されている。,mlit_page,無人航空機登録ポータルサイト,https://www.mlit.go.jp/koku/drone/,2026-05-19,approved,dips_status_003,新規作問。,yes
P1-070,part1,登録制度,中級,申請状況に反映されない場合でも、入力途中の状態で保存されていれば正式な申請として受理されている。,false,登録ポータルサイトでは、「手続き完了」の画面が表示されるまで手続きを中断しないよう案内している。,mlit_page,無人航空機登録ポータルサイト,https://www.mlit.go.jp/koku/drone/,2026-05-19,approved,dips_status_004,新規作問。,yes
P1-071,part1,登録制度,初級,新規登録や更新申請では、登録手数料を納付する必要がある。,true,登録ポータルサイトでは、新規登録・更新申請に際して登録手数料の納付が必要と案内されている。,mlit_page,無人航空機登録ポータルサイト,https://www.mlit.go.jp/koku/drone/,2026-05-19,approved,registration_fee_001,新規作問。,yes
P1-072,part1,登録制度,中級,機体の登録更新をしても、登録記号は更新前後で変わらない。,true,登録ポータルサイトのFAQでは、登録記号は更新前後で変わらないと案内されている。,mlit_page,無人航空機登録ポータルサイト,https://www.mlit.go.jp/koku/drone/,2026-05-19,approved,registration_update_001,新規作問。,yes
P1-073,part1,登録制度,上級,事前登録機の更新手続が有効期間満了までに完了しなくても、更新手続中であればその機体を飛行させることができる。,false,更新手続が完了するまでは、その機体を飛行させることはできない。,mlit_page,無人航空機登録ポータルサイト,https://www.mlit.go.jp/koku/drone/,2026-05-19,approved,registration_update_002,新規作問。,yes
P1-074,part1,飛行禁止空域,中級,飛行自粛要請空域は法令に基づく規制ではないが、設定される場合には公示内容を確認し、適切に対応することが望ましい。,true,教則では、飛行自粛要請空域は法令規制ではない一方、公示内容を確認して適切に対応するよう求めている。,manual,無人航空機の飛行の安全に関する教則,https://www.mlit.go.jp/common/001602108.pdf,2026-05-19,approved,self_restraint_airspace_001,新規作問。,yes
P1-075,part1,飛行禁止空域,中級,飛行自粛要請空域は法令に基づく飛行禁止空域なので、許可を得れば必ず飛行できる。,false,飛行自粛要請空域は法令に基づく規制そのものではなく、公示内容を確認して対応すべき対象である。,manual,無人航空機の飛行の安全に関する教則,https://www.mlit.go.jp/common/001602108.pdf,2026-05-19,approved,self_restraint_airspace_002,新規作問。,yes
