id,category,subcategory,difficulty,statement,is_correct,explanation,source_type,source_title,source_url,source_checked_on,status,duplicate_group,review_notes,app_ready
P2-012,part2,推進系・プロペラ,中級,ESCは、バッテリーからの直流電力を制御し、モーターを駆動する。,true,ESCは直流電力を制御してブラシレスモーター用の駆動電流を生成する。,authoring_seed,既存問題移管,"",2026-05-19,approved,esc_001,既存問題。,yes
P2-013,part2,制御系・センサー,初級,フライトコントローラーは、操縦者入力とセンサー情報を統合し、各モーターを制御する。,true,フライトコントローラーは機体制御の中枢であり、姿勢制御や安定化を担う。,authoring_seed,既存問題移管,"",2026-05-19,approved,fc_001,既存問題。,yes
P2-014,part2,制御系・センサー,初級,IMUは、加速度センサーとジャイロセンサーで構成される。,true,IMUは姿勢や運動状態の推定に使われる基本センサー群である。,authoring_seed,既存問題移管,"",2026-05-19,approved,imu_001,既存問題。,yes
P2-015,part2,制御系・センサー,初級,気圧センサーは、方位（向き）の検出に使用される。,false,気圧センサーは主に高度推定に用いられ、方位検出には地磁気センサーなどを用いる。,authoring_seed,既存問題移管,"",2026-05-19,approved,barometer_001,既存問題。,yes
P2-016,part2,制御系・センサー,初級,地磁気センサーは、機体の方位検出に使用される。,true,地磁気センサーはコンパスとして機能し、方位推定に使われる。,authoring_seed,既存問題移管,"",2026-05-19,approved,magnetometer_001,既存問題。,yes
P2-017,part2,制御系・センサー,初級,GNSSは、機体の位置情報を取得するために使用される。,true,GPSを含むGNSSは、位置や速度の推定に利用される。,authoring_seed,既存問題移管,"",2026-05-19,approved,gnss_001,既存問題。,yes
P2-018,part2,制御系・センサー,中級,GNSS信号を受信できない場合、自動位置保持は正常に機能しない。,true,GNSSに依存する位置保持機能は、受信不良時に性能が低下または停止する。,authoring_seed,既存問題移管,"",2026-05-19,approved,gnss_hold_001,既存問題。,yes
P2-019,part2,制御系・センサー,上級,RTK-GNSSは、補正情報を利用することで数cm単位の高精度測位が可能である。,true,RTKは基準局等からの補正情報を使い、高精度な位置決めを可能にする。,authoring_seed,既存問題移管,"",2026-05-19,approved,rtk_001,既存問題。,yes
P2-020,part2,通信・電波,初級,日本国内で使用する無線機器は、技適マークの有無が適法性判断の重要な基準となる。,true,日本国内では電波法に基づき、技適マークの有無が適法使用の重要な判断材料となる。,authoring_seed,既存問題移管,"",2026-05-19,approved,giteki_001,既存問題。,yes
P2-021,part2,通信・電波,初級,技適マークのない無線機器を使用しても、趣味利用であれば問題ない。,false,用途にかかわらず、技適のない無線機器の使用は電波法上問題となる可能性がある。,authoring_seed,既存問題移管,"",2026-05-19,approved,giteki_002,既存問題。,yes
P2-022,part2,電源・バッテリー,初級,LiPoバッテリーは、高エネルギー密度で軽量である。,true,LiPoは軽量で高出力を得やすく、ドローンで広く使われる。,authoring_seed,既存問題移管,"",2026-05-19,approved,lipo_001,既存問題。,yes
P2-023,part2,電源・バッテリー,初級,LiPoバッテリーは、過充電や過放電により劣化や発火の危険がある。,true,LiPoは取り扱いを誤ると性能劣化や発熱、発火の危険がある。,authoring_seed,既存問題移管,"",2026-05-19,approved,lipo_002,既存問題。,yes
P2-024,part2,電源・バッテリー,初級,LiPoバッテリーは、満充電状態で長期保管するのが望ましい。,false,長期保管では満充電を避け、ストレージ電圧付近で保管するのが一般的である。,authoring_seed,既存問題移管,"",2026-05-19,approved,lipo_003,既存問題。,yes
P2-025,part2,電源・バッテリー,初級,LiPoバッテリーの長期保管時は、残量50〜60%程度が望ましい。,true,長期保管は一般にストレージ電圧付近が望ましい。,authoring_seed,既存問題移管,"",2026-05-19,approved,lipo_004,既存問題。,yes
P2-026,part2,電源・バッテリー,初級,膨張したLiPoバッテリーは、そのまま使用を続けても問題ない。,false,膨張は異常の兆候であり、使用継続は危険である。,authoring_seed,既存問題移管,"",2026-05-19,approved,lipo_005,既存問題。,yes
P2-027,part2,電源・バッテリー,初級,不要となったLiPoバッテリーは、自治体や販売店の回収ルールに従い廃棄する。,true,安全のため、定められた回収・廃棄ルールに従う必要がある。,authoring_seed,既存問題移管,"",2026-05-19,approved,lipo_006,既存問題。,yes
P2-028,part2,フェールセーフ・安全機能,初級,フェールセーフ機能は、通信断や異常時に備えた安全機能である。,true,通信断時のRTHや自動降下などが代表例である。,authoring_seed,既存問題移管,"",2026-05-19,approved,failsafe_001,既存問題。,yes
P2-029,part2,フェールセーフ・安全機能,初級,RTH高度は、周囲の障害物を考慮して設定する必要がある。,true,障害物との衝突を避けるため、十分なRTH高度設定が必要である。,authoring_seed,既存問題移管,"",2026-05-19,approved,rth_001,既存問題。,yes
P2-030,part2,フェールセーフ・安全機能,中級,通信が回復した場合でも、フェールセーフ動作が継続されることがある。,true,機種や設定によっては、通信回復後もRTH等が継続する。,authoring_seed,既存問題移管,"",2026-05-19,approved,failsafe_002,既存問題。,yes
P2-031,part2,点検・整備,初級,飛行前点検は、飛行の安全を確保するために重要である。,true,機体、電源、通信、気象等の確認は安全運航の基本である。,authoring_seed,既存問題移管,"",2026-05-19,approved,preflight_001,既存問題。,yes
P2-032,part2,点検・整備,中級,飛行前に機体の点検や気象情報の確認を行うことは、航空法上の遵守事項であり、行わない場合は法令違反となる。,true,飛行前確認は法令上の遵守事項として明文化されている。,authoring_seed,既存問題移管,"",2026-05-19,approved,preflight_002,既存問題。法令根拠は最終レビューで別確認。,yes
P2-033,part2,点検・整備,中級,技能証明保有者が特定飛行を行った場合、飛行日誌の作成・保存が求められる。,true,飛行、点検、整備に関する記録の作成・保存が求められる。,authoring_seed,既存問題移管,"",2026-05-19,approved,flightlog_001,既存問題。,yes
P2-034,part2,点検・整備,中級,飛行日誌は、事故や違反調査の際に提出を求められることがある。,true,飛行日誌は安全管理や調査のための重要な記録である。,authoring_seed,既存問題移管,"",2026-05-19,approved,flightlog_002,既存問題。,yes
P2-035,part2,点検・整備,中級,指定試験機関の実地試験では、安全確認より操縦技術が優先される。,false,実地試験では安全確認が重視され、操縦技術だけでは評価されない。,authoring_seed,既存問題移管,"",2026-05-19,approved,practical_test_001,既存問題。,yes
P2-036,part2,制御系・センサー,中級,磁気キャリブレーションが正しく行われていないと、機体が操縦者の意図しない方向へ飛行する可能性がある。,true,教則では、磁気キャリブレーションが不適切だと意図しない方向へ飛行する可能性があるとしている。,manual,無人航空機の飛行の安全に関する教則,https://www.mlit.go.jp/common/001602108.pdf,2026-05-19,approved,mag_cal_001,新規作問。,yes
P2-037,part2,制御系・センサー,中級,磁気キャリブレーションは、どこで行っても地磁気の影響は同じなので、飛行場所が変わっても不要である。,false,教則では、飛行場所により地磁気の方向は異なるため、磁気キャリブレーションが重要とされている。,manual,無人航空機の飛行の安全に関する教則,https://www.mlit.go.jp/common/001602108.pdf,2026-05-19,approved,mag_cal_002,新規作問。,yes
P2-038,part2,制御系・センサー,中級,GNSSは、最低4個以上の人工衛星からの信号を同時に受信することで位置を計算できる。,true,教則では、GNSSは最低4個以上の人工衛星からの信号を同時に受信することで位置計算ができるとしている。,manual,無人航空機の飛行の安全に関する教則,https://www.mlit.go.jp/common/001602108.pdf,2026-05-19,approved,gnss_002,新規作問。,yes
P2-039,part2,制御系・センサー,上級,GNSSを用いた自動操縦では、測位精度が悪化しても実際の飛行経路の誤差は増えない。,false,教則では、GNSS測位精度が悪化すると、Way Pointを使った自動操縦の飛行経路誤差が大きくなるとしている。,manual,無人航空機の飛行の安全に関する教則,https://www.mlit.go.jp/common/001602108.pdf,2026-05-19,approved,gnss_003,新規作問。,yes
P2-040,part2,制御系・センサー,上級,GNSSを使用しないホバリングでは、気流の影響で水平位置が不安定になりやすいため、姿勢操作で位置を安定させる必要がある。,true,教則では、GNSSなしホバリングでは水平位置が不安定となるため、姿勢操作で安定を保つ必要があるとしている。,manual,無人航空機の飛行の安全に関する教則,https://www.mlit.go.jp/common/001602108.pdf,2026-05-19,approved,gnss_004,文面整理済み。固定翼寄り用語を避けた。,yes
P2-041,part2,電源・バッテリー,初級,バッテリー残量が十分なら、低温環境でも出力性能は低下しない。,false,バッテリーは温度の影響を受け、低温時には性能が低下しやすい。,authoring_seed,新規作問,"",2026-05-19,approved,battery_temp_001,新規作問。6:4補正で誤問化。,yes
P2-042,part2,電源・バッテリー,中級,LiPoバッテリーは、セルの一部だけが極端に電圧低下していても、総電圧が規定内なら安全上問題ない。,false,セルごとの電圧ばらつきや過度な低下は異常の兆候であり、安全に使用できない場合がある。,authoring_seed,新規作問,"",2026-05-19,approved,battery_cell_001,新規作問。,yes
P2-043,part2,電源・バッテリー,中級,バッテリー容量が同じなら、必要な電流に対して放電能力が不足するバッテリーを使っても、電圧降下や推力低下は起こらない。,false,容量が同じでも放電能力が不足すると、電圧降下、推力低下、発熱などの原因になり得る。,authoring_seed,新規作問,"",2026-05-19,approved,battery_discharge_001,文面整理済み。影響内容を明確化。,yes
P2-044,part2,電源・バッテリー,中級,飛行前点検では、燃料の搭載量又はバッテリーの充電量を確認する必要はない。,false,教則の飛行前点検例には、燃料又はバッテリー充電量の確認が含まれている。,manual,無人航空機の飛行の安全に関する教則,https://www.mlit.go.jp/common/001602108.pdf,2026-05-19,approved,battery_preflight_001,新規作問。6:4補正で誤問化。,yes
P2-045,part2,電源・バッテリー,中級,飛行後に各機器の異常な発熱がないか確認することは、運航終了後の点検項目には含まれない。,false,教則の飛行後点検例には、各機器の異常な発熱の有無の確認が含まれている。,manual,無人航空機の飛行の安全に関する教則,https://www.mlit.go.jp/common/001602108.pdf,2026-05-19,approved,battery_postflight_001,新規作問。6:4補正で誤問化。,yes
P2-046,part2,フェールセーフ・安全機能,初級,フェールセーフ機能の設定内容を理解していなくても、通信断時の挙動は常に予測できる。,false,機体ごとのフェールセーフ設定を理解していないと、異常時の挙動を誤認する危険がある。,authoring_seed,新規作問,"",2026-05-19,approved,failsafe_003,新規作問。6:4補正で誤問化。,yes
P2-047,part2,フェールセーフ・安全機能,中級,RTH高度は、障害物との衝突を避けられるように設定する必要があり、単に低ければ安全というものではない。,false,RTH高度は障害物との衝突を避けられるよう、周囲環境を考慮して設定する必要がある。,authoring_seed,新規作問,"",2026-05-19,approved,rth_002,文面整理済み。主論点を障害物考慮へ集約。,yes
P2-048,part2,フェールセーフ・安全機能,中級,異常事態発生時には、あらかじめ設定した手順等に従った危機回避行動をとる。,true,教則の異常事態発生時の措置では、あらかじめ設定した手順等に従うことが示されている。,manual,無人航空機の飛行の安全に関する教則,https://www.mlit.go.jp/common/001602108.pdf,2026-05-19,approved,emergency_proc_001,新規作問。,yes
P2-049,part2,フェールセーフ・安全機能,中級,通信断などの異常時には、毎回必ず同じフェールセーフ動作が行われ、機種や設定で挙動が変わることはない。,false,異常時挙動は機種や設定により異なるため、事前理解が必要である。,authoring_seed,新規作問,"",2026-05-19,approved,failsafe_004,新規作問。,yes
P2-050,part2,点検・整備,初級,飛行前点検では、各機器の取付状況やネジ等の脱落・緩みは確認しなくてよい。,false,教則の飛行前確認例には、各機器の取付状況やネジ等の脱落・緩み確認が含まれている。,manual,無人航空機の飛行の安全に関する教則,https://www.mlit.go.jp/common/001602108.pdf,2026-05-19,approved,maintenance_preflight_001,新規作問。6:4補正で誤問化。,yes
P2-051,part2,点検・整備,中級,飛行前点検でプロペラやフレームに損傷やゆがみが見つかっても、モーターが正常ならそのまま飛行してよい。,false,教則では、機体の損傷やゆがみの有無も確認対象であり、異常がある状態での飛行は避けるべきである。,manual,無人航空機の飛行の安全に関する教則,https://www.mlit.go.jp/common/001602108.pdf,2026-05-19,approved,maintenance_preflight_002,新規作問。,yes
P2-052,part2,点検・整備,中級,飛行前点検では、通信系統、推進系統、電源系統及び自動制御系統が正常に作動するか確認する必要はない。,false,教則の飛行前点検例には、各系統の正常作動確認が含まれている。,manual,無人航空機の飛行の安全に関する教則,https://www.mlit.go.jp/common/001602108.pdf,2026-05-19,approved,maintenance_preflight_003,新規作問。6:4補正で誤問化。,yes
P2-053,part2,点検・整備,中級,飛行後の点検では、機体にゴミ等の付着がないかや、各機器の取り付け状態を確認する。,true,教則の飛行後点検例には、ゴミ等の付着や各機器の取り付け状態の確認が含まれている。,manual,無人航空機の飛行の安全に関する教則,https://www.mlit.go.jp/common/001602108.pdf,2026-05-19,approved,maintenance_postflight_001,新規作問。,yes
P2-054,part2,通信・電波,初級,日本国内では、無線機器の適法使用を判断するうえで技適マークの確認が重要である。,true,無線機器の適法性判断では技適マークの確認が重要となる。,authoring_seed,新規作問,"",2026-05-19,approved,radio_001,既存論点の補強。,yes
P2-055,part2,通信・電波,中級,通信が届きにくい環境でも、障害物やノイズの影響は考えなくてよく、受信環境の確認は不要である。,false,教則でもGNSSや通信は周囲環境やノイズの影響を受けるため、受信環境の確認が重要となる。,manual,無人航空機の飛行の安全に関する教則,https://www.mlit.go.jp/common/001602108.pdf,2026-05-19,approved,radio_002,新規作問。6:4補正で誤問化。,yes
P2-056,part2,飛行原理・姿勢制御,初級,ホバリング中に機体重量が増えると、同じ姿勢を保つために必要な総推力も増える。,true,重量が増えれば、それを支えるために必要な総揚力・総推力も増える。,authoring_seed,新規作問,"",2026-05-19,approved,hover_thrust_001,新規作問。,yes
P2-057,part2,飛行原理・姿勢制御,中級,マルチコプターが前進中に高度を維持するには、前傾によって減った垂直成分を補うため推力調整が必要となる。,true,前傾すると揚力の一部が前進方向に向くため、高度維持には垂直成分を補う調整が必要になる。,authoring_seed,新規作問,"",2026-05-19,approved,forward_altitude_001,新規作問。,yes
P2-058,part2,飛行原理・姿勢制御,中級,ヨー操作では、全プロペラの回転方向を同時に反転させることで機首方向を変える。,false,ヨー制御は回転方向の異なるプロペラ群の回転数差で反トルク差を作って行う。,authoring_seed,新規作問,"",2026-05-19,approved,yaw_002,新規作問。,yes
P2-059,part2,飛行原理・姿勢制御,中級,ペイロードを搭載すると、飛行時間や運動性能に影響が出ることがある。,true,搭載重量の増加は推力余裕や消費電力に影響し、飛行時間や応答性が変化し得る。,manual,無人航空機の飛行の安全に関する教則,https://www.mlit.go.jp/common/001602108.pdf,2026-05-19,approved,payload_001,新規作問。,yes
P2-060,part2,飛行原理・姿勢制御,上級,同じ総推力が得られていれば、重心位置が大きくずれていても姿勢安定性には影響しない。,false,重心位置のずれは姿勢制御や安定性に影響し、操縦性悪化の要因となる。,authoring_seed,新規作問,"",2026-05-19,approved,cg_001,新規作問。,yes
P2-061,part2,推進系・プロペラ,初級,プロペラに欠けやひび割れがある状態で飛行しても、振動や破損の危険は高まらない。,false,プロペラ損傷は振動増加、推力低下、破断の原因となり危険である。,authoring_seed,新規作問,"",2026-05-19,approved,prop_damage_001,新規作問。6:4補正で誤問化。,yes
P2-062,part2,推進系・プロペラ,中級,プロペラは回転方向に対応した取り付けが必要であり、逆向きに装着すると推力性能が大きく低下する。,true,回転方向と取り付け向きを誤ると、十分な推力が得られず危険である。,authoring_seed,新規作問,"",2026-05-19,approved,prop_direction_001,新規作問。,yes
P2-063,part2,推進系・プロペラ,中級,プロペラの締結が少し緩んでいても、回転が始まれば遠心力で固定されるので問題ない。,false,締結不良は脱落や大きな事故につながるため、確実な固定確認が必要である。,authoring_seed,新規作問,"",2026-05-19,approved,prop_mount_001,新規作問。,yes
P2-064,part2,推進系・プロペラ,中級,モーターから異音や異常振動が出ている場合は、軸受けやプロペラ、取り付け状態の異常が疑われる。,true,異音や振動は推進系異常の代表的な兆候であり、点検が必要である。,authoring_seed,新規作問,"",2026-05-19,approved,motor_vibration_001,新規作問。,yes
P2-065,part2,推進系・プロペラ,上級,一つのモーターの出力が低下しても、マルチコプターの姿勢制御にはほとんど影響しない。,false,モーター出力の偏りは姿勢崩れや制御不能の原因となる。,authoring_seed,新規作問,"",2026-05-19,approved,motor_failure_001,新規作問。,yes
P2-066,part2,機体種類・構造,初級,マルチローターは、固定翼機に比べて狭い場所で離着陸しやすい。,true,垂直離着陸やホバリングが可能なため、狭所運用に向く。,manual,無人航空機の飛行の安全に関する教則,https://www.mlit.go.jp/common/001602108.pdf,2026-05-19,approved,aircraft_type_001,新規作問。,yes
P2-067,part2,機体種類・構造,初級,ヘリコプター型の無人航空機は、一般にマルチローターより機械構造が単純で、整備箇所も少ない。,false,一般にヘリコプター型は可動部や機械構成が複雑で、整備観点も増えやすい。,manual,無人航空機の飛行の安全に関する教則,https://www.mlit.go.jp/common/001602108.pdf,2026-05-19,approved,aircraft_type_002,新規作問。,yes
P2-068,part2,機体種類・構造,中級,固定翼機は、通常、前進しながら翼で揚力を得るため、失速に注意が必要である。,true,前進気流が不足すると揚力が低下するため、固定翼機では失速に注意が必要となる。,manual,無人航空機の飛行の安全に関する教則,https://www.mlit.go.jp/common/001602108.pdf,2026-05-19,approved,aircraft_type_003,新規作問。,yes
P2-069,part2,機体種類・構造,中級,物件投下装置は、投下物を確実に固定し、必要時に安全に切り離せる構造であることが重要である。,true,物件投下装置は不意の脱落や作動不良を防ぐ観点で安全な構造が必要である。,manual,無人航空機の飛行の安全に関する教則,https://www.mlit.go.jp/common/001602108.pdf,2026-05-19,approved,payload_device_001,文面整理済み。やや具体化。,yes
P2-070,part2,点検・整備,中級,飛行前点検では、物件投下装置を装備していても、その機構が正常に作動するか確認する必要はない。,false,追加装備がある場合は、その装備の取り付けや動作確認も必要となる。,authoring_seed,新規作問,"",2026-05-19,approved,payload_device_002,新規作問。6:4補正で誤問化。,yes
P2-071,part2,点検・整備,中級,機体の主たる構成要素を理解していれば、飛行後点検は不要である。,false,構成要素の理解と点検実施は別であり、飛行後も異常有無を確認すべきである。,manual,無人航空機の飛行の安全に関する教則,https://www.mlit.go.jp/common/001602108.pdf,2026-05-19,approved,maintenance_postflight_002,新規作問。,yes
P2-072,part2,点検・整備,中級,機体又はバッテリーに異常が発生した場合は、再発防止のため原因分析を行うことが重要である。,true,機体やバッテリーの故障・事故分析は、安全運用の改善に直結する。,manual,無人航空機の飛行の安全に関する教則,https://www.mlit.go.jp/common/001602108.pdf,2026-05-19,approved,failure_analysis_001,新規作問。,yes
P2-073,part2,電源・バッテリー,中級,ペイロードが増えると消費電力が増えやすいため、同じバッテリーでも飛行時間が短くなることがある。,true,重量増加は必要推力と消費電力に影響し、飛行時間短縮の要因となる。,authoring_seed,新規作問,"",2026-05-19,approved,battery_payload_001,新規作問。,yes
P2-074,part2,電源・バッテリー,上級,バッテリーが高温になっている直後でも、状態確認なしで直ちに再充電するのが望ましい。,false,異常な高温時は状態確認と冷却を優先し、安全に再充電できるか判断する必要がある。,authoring_seed,新規作問,"",2026-05-19,approved,battery_temp_002,新規作問。,yes
P2-075,part2,飛行原理・姿勢制御,上級,マルチローターは、プロペラ回転数の個別制御によって姿勢制御と推力制御を同時に行っている。,true,各モーター出力の組み合わせにより、姿勢と機体運動を制御している。,manual,無人航空機の飛行の安全に関する教則,https://www.mlit.go.jp/common/001602108.pdf,2026-05-19,approved,mc_control_001,新規作問。,yes
P2-076,part2,点検・整備,初級,飛行前点検では、送信機の設定が意図した内容になっているか確認する必要はない。,false,送信機設定の誤りは誤操作や想定外挙動の原因となるため、事前確認が重要である。,authoring_seed,新規作問,"",2026-05-19,approved,maintenance_tx_001,文面整理済み。6:4補正で誤問化。,yes
P2-077,part2,点検・整備,中級,飛行前点検で異常が見つからなくても、飛行後点検は省略してよい。,false,飛行後点検では、飛行中に生じた異常や緩み、発熱などを確認する意味がある。,authoring_seed,新規作問,"",2026-05-19,approved,maintenance_post_003,新規作問。,yes
P2-078,part2,点検・整備,中級,飛行前点検では、アンテナや配線の損傷、抜けかけ、断線の有無も確認対象となる。,true,通信断や制御不良の原因となるため、配線やアンテナ状態の確認は重要である。,authoring_seed,新規作問,"",2026-05-19,approved,maintenance_wiring_001,新規作問。,yes
P2-079,part2,点検・整備,中級,飛行前点検は機体本体だけ確認すれば足り、プロポや地上側装置の状態確認は不要である。,false,安全運航には機体だけでなく送信機や地上側機器の確認も重要である。,authoring_seed,新規作問,"",2026-05-19,approved,maintenance_ground_001,新規作問。,yes
P2-080,part2,点検・整備,中級,飛行後点検で異常が見つかった場合は、次回飛行前まで放置せず、必要な整備や記録を行うべきである。,true,異常の記録と是正を行わないと、同じ不具合の再発や重大事故につながる。,authoring_seed,新規作問,"",2026-05-19,approved,maintenance_record_001,新規作問。,yes
P2-081,part2,点検・整備,上級,予備プロペラや工具を携行していれば、飛行前点検の結果にかかわらず現場で判断して損傷部品を使い続けてもよい。,false,損傷部品の継続使用は危険であり、必要なら適切に交換し安全確認を行うべきである。,authoring_seed,新規作問,"",2026-05-19,approved,maintenance_parts_001,新規作問。,yes
P2-082,part2,点検・整備,上級,機体ログや点検記録を継続的に残すことは、再発防止や異常傾向の把握に役立つ。,true,記録の蓄積は故障解析や予防保全に有効である。,authoring_seed,新規作問,"",2026-05-19,approved,maintenance_log_001,新規作問。,yes
P2-083,part2,点検・整備,上級,目視で異常が見つからなければ、飛行中の振動増加や操縦感の変化は整備判断の材料にならない。,false,飛行中の違和感は重要な異常兆候であり、整備や点検判断の材料となる。,authoring_seed,新規作問,"",2026-05-19,approved,maintenance_symptom_001,新規作問。,yes
P2-084,part2,通信・電波,初級,送信機のアンテナ方向や機体との位置関係によって、通信品質が変化することがある。,true,アンテナ配置や向きは通信品質に影響するため、適切な向きや位置関係を意識する必要がある。,authoring_seed,新規作問,"",2026-05-19,approved,radio_003,新規作問。,yes
P2-085,part2,通信・電波,中級,見通しが悪い環境や障害物の多い場所では、通信品質が低下しやすい。,true,建物や地形、樹木などは通信の減衰や遮蔽要因となる。,authoring_seed,新規作問,"",2026-05-19,approved,radio_004,新規作問。,yes
P2-086,part2,通信・電波,中級,無線の受信状態が不安定でも、GNSSが正常なら操縦不能になることはない。,false,GNSSが正常でも操縦信号の断絶は重大であり、機体喪失につながる可能性がある。,authoring_seed,新規作問,"",2026-05-19,approved,radio_005,新規作問。,yes
P2-087,part2,通信・電波,中級,高出力機器や周辺電波環境の影響により、通信や測位にノイズが入ることがある。,true,周辺の電波環境は通信系や測位系の安定性に影響することがある。,authoring_seed,新規作問,"",2026-05-19,approved,radio_006,新規作問。,yes
P2-088,part2,電源・バッテリー,中級,バッテリー残量表示だけでなく、セルバランスや電圧低下傾向も安全判断の材料となる。,true,残量表示だけでは異常を見落とす場合があり、セル状態や電圧変化も重要である。,authoring_seed,新規作問,"",2026-05-19,approved,battery_cell_002,新規作問。,yes
P2-089,part2,電源・バッテリー,中級,充電直後で電圧が高ければ、異常な膨張が見られてもそのまま使用して問題ない。,false,膨張は危険兆候であり、電圧状態にかかわらず使用継続は避けるべきである。,authoring_seed,新規作問,"",2026-05-19,approved,battery_swell_001,新規作問。,yes
P2-090,part2,電源・バッテリー,上級,寒冷時には内部抵抗の増加により電圧降下が起こりやすく、飛行性能に影響することがある。,true,低温ではバッテリー性能が低下し、電圧降下や出力低下が起こりやすい。,authoring_seed,新規作問,"",2026-05-19,approved,battery_temp_003,新規作問。,yes
P2-091,part2,フェールセーフ・安全機能,中級,RTH機能を使う場合は、ホームポイントの記録が適切に行われているか確認することが重要である。,true,ホームポイントが誤っていると、RTH時に危険な場所へ向かう可能性がある。,authoring_seed,新規作問,"",2026-05-19,approved,rth_003,新規作問。,yes
P2-092,part2,フェールセーフ・安全機能,中級,RTH機能がある機体では、操縦者は緊急時対応手順を事前に確認しておく必要はない。,false,自動機能があっても、想定外挙動や復帰操作のために手順理解は必要である。,authoring_seed,新規作問,"",2026-05-19,approved,rth_004,新規作問。,yes
P2-093,part2,フェールセーフ・安全機能,上級,通信断時の挙動がホバリング維持、RTH、自動降下のどれになるかは、設定や機体仕様で異なることがある。,true,フェールセーフ挙動は機体や設定に依存し、一律ではない。,authoring_seed,新規作問,"",2026-05-19,approved,failsafe_005,新規作問。,yes
P2-094,part2,制御系・センサー,中級,地磁気センサーは周囲の金属や磁場の影響を受けることがある。,true,コンパス系は磁気干渉の影響を受けやすく、使用環境に注意が必要である。,authoring_seed,新規作問,"",2026-05-19,approved,magnetometer_002,新規作問。,yes
P2-095,part2,制御系・センサー,上級,GNSS受信数が不足しても、位置保持性能は必ず一定に保たれる。,false,受信衛星数や測位品質の低下は位置保持性能の悪化につながる。,authoring_seed,新規作問,"",2026-05-19,approved,gnss_005,新規作問。,yes
P2-096,part2,機体種類・構造,中級,固定翼機は前進飛行によって揚力を得るため、狭所での離着陸は一般にマルチローターより制約を受けやすい。,true,固定翼機は離着陸スペースの制約を受けやすく、狭所運用はマルチローターほど得意ではない。,authoring_seed,新規作問,"",2026-05-19,approved,aircraft_type_004,新規作問。,yes
